category,attribute_name,10500,10701,10800,11001,11002,11101,11102,11200,11300,11700,11800,11901,11902,12001,12002,12100,12202,12203,12204,12301,12302,12403,12404,12405,12406,12502,12503,12504,13101,13102,15100,15201,15500,15900,16000,16102,16200,16300,16802,17602,17603,17604,17700,17801,17803,17804,18000,20101,20202,60701,60702,60703,61101,61102,61501,61502,61503,61504,61506,61507,61508
Population,Total Population,3151,3800,5013,2796,2266,2728,2141,3298,2920,1727,1590,2390,2957,1938,2196,3586,2714,1920,2639,1973,2656,2253,2443,3381,1433,4034,3600,680,3775,2981,2715,1802,3624,4652,2717,2416,3430,4528,3774,3499,4684,2710,1877,3895,2458,4382,3504,3314,4201,6889,1203,5238,1913,2405,2050,1703,3102,1646,4899,1673,2302
Population,"Non-Hispanicor Latino, white",1673,109,2351,1416,1182,1382,921,1944,516,640,145,1240,1580,876,766,1718,1014,882,1287,613,1263,452,751,1169,518,705,856,173,2575,1900,1376,1161,1527,1140,1110,337,1853,2538,1727,832,1292,712,687,853,799,1352,1320,1184,2179,2767,589,2009,68,76,961,1282,1245,453,1657,567,1388
Population,Asian,916,3534,1827,1124,910,864,863,952,2222,693,1344,542,993,440,699,1034,881,490,648,708,736,1263,465,917,631,1434,1251,377,691,520,949,407,1204,2055,856,473,947,483,853,1648,2071,693,412,2471,866,1899,856,494,477,2449,379,2279,1808,2167,845,260,1474,1014,2742,733,766
Population,Hispanic or Latino,153,152,279,188,91,278,137,147,90,152,20,344,192,442,473,419,273,227,640,494,392,255,770,457,120,887,1098,77,277,317,199,167,468,627,165,249,244,670,539,174,731,659,672,314,505,770,727,1148,785,766,38,632,12,62,0,58,110,69,260,373,96
Population,Two or More Races,181,0,316,0,79,150,91,85,92,184,65,229,158,378,219,339,157,182,295,54,71,68,56,460,90,67,361,77,165,289,101,46,395,286,487,136,174,462,333,73,275,174,115,159,216,224,552,323,503,492,45,191,25,0,193,70,54,110,240,190,17
Population,Other,43,116,39,35,14,67,0,31,9,113,5,100,115,117,149,152,144,70,187,311,309,266,356,82,28,729,796,0,30,54,30,63,231,258,59,247,144,484,181,133,477,150,353,0,284,478,184,716,126,101,152,212,0,18,0,56,49,24,0,0,79
Population,Black or African American,237,0,268,68,4,57,129,163,0,34,16,55,26,0,197,166,394,176,19,139,144,136,364,379,75,519,134,53,80,17,65,21,36,526,157,1221,189,436,363,772,387,444,34,138,0,236,367,311,211,529,38,72,0,1,0,31,163,9,0,0,52
Population,American Indian or Alaskan Native,0,5,0,0,0,0,2,5,0,0,0,0,0,43,10,0,38,0,0,0,10,48,6,40,5,459,23,0,17,0,12,0,8,61,0,2,0,0,37,0,0,61,52,0,0,7,39,78,553,92,0,0,0,49,0,0,0,0,0,0,0
Population,Native Hawaiian or Pacific Islander,0,0,0,0,0,0,0,0,0,0,0,21,8,0,0,0,0,0,0,30,7,0,12,46,0,0,0,0,0,0,0,0,23,0,0,0,0,18,0,0,0,85,0,0,72,10,16,0,38,0,0,132,0,32,51,4,56,0,0,0,0
